Available Gemini models (ListModels):
  - models/aqa | (Model that performs Attributed Question Answering.) | methods=generateAnswer | in=7168 | out=1024
  - models/embedding-001 | (Embedding 001) | methods=embedContent | in=2048 | out=1
  - models/embedding-gecko-001 | (Embedding Gecko) | methods=embedText,countTextTokens | in=1024 | out=1
  - models/gemini-2.0-flash | (Gemini 2.0 Flash) | methods=generateContent,countTokens,createCachedContent,batchGenerateContent | in=1048576 | out=8192
  - models/gemini-2.0-flash-001 | (Gemini 2.0 Flash 001) | methods=generateContent,countTokens,createCachedContent,batchGenerateContent | in=1048576 | out=8192
  - models/gemini-2.0-flash-exp | (Gemini 2.0 Flash Experimental) | methods=generateContent,countTokens,bidiGenerateContent | in=1048576 | out=8192
  - models/gemini-2.0-flash-exp-image-generation | (Gemini 2.0 Flash (Image Generation) Experimental) | methods=generateContent,countTokens,bidiGenerateContent | in=1048576 | out=8192
  - models/gemini-2.0-flash-lite | (Gemini 2.0 Flash-Lite) | methods=generateContent,countTokens,createCachedContent,batchGenerateContent | in=1048576 | out=8192
  - models/gemini-2.0-flash-lite-001 | (Gemini 2.0 Flash-Lite 001) | methods=generateContent,countTokens,createCachedContent,batchGenerateContent | in=1048576 | out=8192
  - models/gemini-2.0-flash-lite-preview | (Gemini 2.0 Flash-Lite Preview) | methods=generateContent,countTokens,createCachedContent,batchGenerateContent | in=1048576 | out=8192
  - models/gemini-2.0-flash-lite-preview-02-05 | (Gemini 2.0 Flash-Lite Preview 02-05) | methods=generateContent,countTokens,createCachedContent,batchGenerateContent | in=1048576 | out=8192
  - models/gemini-2.0-flash-live-001 | (Gemini 2.0 Flash 001) | methods=bidiGenerateContent,countTokens | in=131072 | out=8192
  - models/gemini-2.0-flash-preview-image-generation | (Gemini 2.0 Flash Preview Image Generation) | methods=generateContent,countTokens,batchGenerateContent | in=32768 | out=8192
  - models/gemini-2.0-flash-thinking-exp | (Gemini 2.5 Flash Preview 05-20) | methods=generateContent,countTokens,createCachedContent,batchGenerateContent | in=1048576 | out=65536
  - models/gemini-2.0-flash-thinking-exp-01-21 | (Gemini 2.5 Flash Preview 05-20) | methods=generateContent,countTokens,createCachedContent,batchGenerateContent | in=1048576 | out=65536
